Timestamp,"A1 / GEN: Gender (1=Male, 2=Female, 3=Other, 4=Prefer not to say)",A2 / AGE: Age,A3 / MAJ: Academic Major,A4 / YEAR: Academic Year,A5 / DEVICE: How do you go online? (Select all that apply),B1: I know my phone or computer can get viruses or harmful software.,B2: I know phishing is dangerous.,B3: I am aware that 'https' is safer than 'http' in a website address.,B4: I know Nepal has an online safety law (Electronic Transactions Act).,B5: I am concerned about using open public Wi-Fi.,B6: I know that careless use of the internet can put my personal information at risk.,B7: I give high priority to using my phone or computer securely.,C1: I use one password for many accounts.,C2: I open links in emails from people I do not know.,C3: I use public Wi-Fi for banking or private work without extra protection.,C4: I download from websites I do not trust.,C5: I post my location or personal photos openly on social media.,C6: I click pop-up ads while browsing.,C7: I accept friend or chat requests from strangers online.,D1: I update security or antivirus on my devices.,D2: I check for a lock sign before I enter passwords or card details.,D3: I change my passwords from time to time.,D4: I log out when I finish on a shared or public device.,D5: I turn on two-factor authentication for important accounts when it is offered.,D6: I back up important files to another drive or cloud storage.,D7: I check who sent an email before I open links or attachments.,"E1: If hackers took my data, it would be a big problem for me.",E2: I can deal with common online dangers.,E3: Safe internet habits are important in my daily life.,E4: I would know where to report an online crime.,E5: Strong passwords are hard for me to make and remember.,E6: My university has prepared me enough for cyber risks.,"E7: If another student told me about a breach, I would be more careful."
5/9/2026 10:49:18,2 - Female,2 - 20–25,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",5,5,5,5,5,5,5,5,1,3,1,2,2,1,3,2,4,3,3,2,3,5,4,4,5,1,3,3
5/9/2026 10:51:11,1 - Male,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",2 - 2nd,"Smartphone, Laptop",5,5,5,4,5,5,5,3,3,4,3,2,1,2,1,1,2,4,5,2,2,5,2,5,1,2,1,4
5/9/2026 11:08:47,2 - Female,3 - 26 - 40,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,Smartphone,5,4,4,5,4,4,4,5,2,4,2,4,2,1,2,4,4,4,2,2,4,4,2,4,4,2,2,4
5/9/2026 11:41:37,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",3 - 3rd,"Smartphone, Laptop",4,4,4,4,4,4,3,2,1,2,2,2,2,2,4,4,3,5,5,5,5,4,4,4,4,5,3,5
5/9/2026 12:35:08,1 - Male,3 - 26 - 40,1 - IT/Computer Science,4 - 4th,"Smartphone, Laptop, Tablet, Desktop",5,5,5,5,5,5,5,3,4,1,4,2,2,3,4,5,4,4,5,5,5,4,4,4,4,4,3,4
5/9/2026 13:26:42,1 - Male,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,"Smartphone, Laptop, Desktop",5,5,5,5,4,4,4,1,2,4,2,1,1,3,5,5,5,5,5,5,5,1,3,5,5,2,3,4
5/9/2026 14:00:54,2 - Female,3 - 26 - 40,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,Smartphone,3,3,4,5,2,4,4,2,3,4,3,1,5,4,3,2,4,4,3,5,4,4,2,3,2,4,3,4
5/9/2026 14:04:00,2 - Female,2 - 20–25,1 - IT/Computer Science,4 - 4th,"Smartphone, Laptop",5,5,5,5,1,5,5,1,1,1,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5
5/9/2026 14:06:12,1 - Male,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",4 - 4th,"Smartphone, Laptop",5,5,5,5,5,4,5,1,1,1,5,1,3,1,5,5,5,5,5,5,5,4,4,5,4,5,5,4
5/9/2026 14:12:44,2 - Female,2 - 20–25,1 - IT/Computer Science,1 - 1st,Smartphone,5,5,5,5,1,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5/9/2026 14:13:49,1 - Male,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,Smartphone,5,4,5,4,3,4,5,1,1,2,3,3,1,2,5,5,5,5,5,5,5,3,3,5,3,2,4,3
5/9/2026 14:14:35,2 - Female,1 - Under 20,1 - IT/Computer Science,1 - 1st,"Smartphone, Laptop",5,4,5,3,4,3,4,2,2,1,3,2,3,3,4,4,4,4,4,4,4,5,4,4,5,4,4,4
5/9/2026 14:18:14,2 - Female,1 - Under 20,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,Smartphone,3,5,5,5,4,4,4,5,1,1,1,1,1,1,2,2,2,3,3,3,5,5,3,5,2,3,2,4
5/9/2026 14:24:52,1 - Male,4 - 41 and above,"2 - Non-IT Related (e.g., Humanities, Management)",1 - 1st,Smartphone,4,4,4,4,3,4,4,4,2,2,2,2,2,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
5/9/2026 14:26:59,1 - Male,2 - 20–25,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",4,5,5,5,5,5,4,4,2,4,2,4,1,1,4,4,4,2,5,4,2,4,2,4,4,2,4,4
5/9/2026 14:30:56,1 - Male,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",1 - 1st,"Smartphone, Laptop",4,4,4,4,4,4,2,3,2,2,3,2,2,2,2,2,4,4,2,2,4,4,2,4,4,4,2,4
5/9/2026 14:35:33,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",2 - 2nd,Smartphone,5,5,4,4,4,5,5,2,2,4,3,4,3,3,2,2,2,5,1,3,1,5,2,5,4,3,2,4
5/9/2026 15:01:48,2 - Female,2 - 20–25,1 - IT/Computer Science,4 - 4th,Smartphone,1,1,2,1,3,1,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/9/2026 15:15:03,1 - Male,3 - 26 - 40,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,Smartphone,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,1,2,3,4,5,1,2
5/9/2026 16:05:22,2 - Female,3 - 26 - 40,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,Smartphone,3,5,3,3,3,3,3,1,1,3,5,3,3,1,3,2,5,4,3,3,4,5,3,4,2,2,1,4
5/9/2026 16:40:28,1 - Male,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop, Desktop",5,5,5,4,5,5,5,4,2,2,1,2,2,1,4,4,4,5,5,5,5,4,5,5,5,2,4,5
5/9/2026 16:44:13,1 - Male,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",2 - 2nd,"Smartphone, Laptop",5,5,3,5,5,5,4,3,4,3,5,2,4,3,5,4,3,4,4,4,4,5,3,5,3,4,3,3
5/9/2026 17:21:14,2 - Female,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,Smartphone,5,5,4,4,5,5,5,4,1,3,2,1,1,3,4,4,4,5,3,4,5,5,3,5,3,2,5,5
5/9/2026 17:25:30,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",1 - 1st,Smartphone,5,4,3,3,4,5,5,4,1,3,2,1,2,1,3,4,3,5,4,4,4,5,3,5,4,1,4,5
5/9/2026 17:28:47,1 - Male,3 - 26 - 40,1 - IT/Computer Science,4 - 4th,"Smartphone, Laptop",5,5,5,4,5,5,5,2,2,4,2,4,4,2,4,5,5,5,5,5,5,5,3,5,5,4,5,5
5/9/2026 17:30:16,1 - Male,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",1 - 1st,Smartphone,2,3,5,3,3,5,5,4,1,2,1,2,1,3,1,5,3,1,3,3,4,3,1,3,3,1,5,3
5/9/2026 17:41:39,1 - Male,2 - 20–25,1 - IT/Computer Science,5 - Post-graduate,Laptop,3,4,3,4,1,5,3,3,1,2,1,3,1,5,3,1,1,1,3,1,3,4,5,3,5,5,4,5
5/9/2026 17:46:32,2 - Female,3 - 26 - 40,1 - IT/Computer Science,4 - 4th,"Smartphone, Laptop, Tablet, Desktop",4,4,5,4,4,5,5,3,1,1,1,1,1,1,4,4,4,4,4,4,5,4,4,4,4,1,2,1
5/9/2026 17:49:52,2 - Female,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",2,5,4,3,2,3,4,1,3,4,1,5,4,3,3,1,2,5,4,2,3,5,3,4,4,3,1,4
5/9/2026 17:56:41,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",4 - 4th,"Smartphone, Laptop",5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5
5/9/2026 18:15:01,1 - Male,3 - 26 - 40,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,"Smartphone, Laptop, Tablet",5,5,5,2,3,4,3,4,1,2,1,2,1,2,3,4,3,5,4,3,5,3,4,4,1,4,2,4
5/9/2026 18:20:38,1 - Male,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop, Tablet, Desktop",4,5,5,3,1,4,5,1,3,5,4,1,2,4,5,5,4,5,5,5,2,5,4,5,3,3,4,5
5/9/2026 18:31:30,1 - Male,3 - 26 - 40,1 - IT/Computer Science,4 - 4th,"Smartphone, Laptop",5,5,5,4,2,4,3,4,2,4,4,2,2,2,2,5,5,4,4,4,5,5,4,5,5,5,2,3
5/9/2026 18:31:45,1 - Male,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,Smartphone,5,5,5,5,5,5,4,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,5,5,1,5,5
5/9/2026 18:49:44,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,Smartphone,4,5,1,2,3,5,2,1,1,4,1,1,1,1,1,4,2,4,4,1,5,5,5,5,1,1,2,4
5/9/2026 18:50:38,1 - Male,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",1 - 1st,"Smartphone, Laptop",5,5,3,3,3,5,5,5,1,3,3,2,4,3,3,2,3,3,3,3,5,5,3,5,3,5,3,5
5/9/2026 18:50:59,2 - Female,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,Laptop,2,1,2,3,3,3,1,1,1,2,5,4,4,3,5,4,4,2,5,4,4,3,3,2,3,3,2,1
5/9/2026 18:57:07,2 - Female,1 - Under 20,1 - IT/Computer Science,1 - 1st,Laptop,2,1,1,1,1,2,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
5/9/2026 19:09:07,2 - Female,3 - 26 - 40,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,"Smartphone, Laptop",5,5,5,3,5,5,5,4,3,2,3,1,2,1,2,2,2,5,5,2,4,3,3,5,5,5,3,4
5/9/2026 19:24:18,2 - Female,1 - Under 20,1 - IT/Computer Science,1 - 1st,Laptop,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/9/2026 23:05:03,1 - Male,3 - 26 - 40,1 - IT/Computer Science,4 - 4th,Laptop,1,2,3,2,1,1,1,5,5,5,5,5,5,5,5,5,1,3,4,2,3,2,3,1,4,1,1,3
5/10/2026 3:42:07,2 - Female,1 - Under 20,1 - IT/Computer Science,1 - 1st,Laptop,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5
5/10/2026 7:46:37,1 - Male,3 - 26 - 40,1 - IT/Computer Science,3 - 3rd,"Smartphone, Laptop",3,3,5,4,4,4,4,2,1,2,2,2,1,2,3,3,3,4,4,4,4,4,4,4,2,4,4,3
5/10/2026 7:58:41,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,"Smartphone, Laptop",5,5,5,5,5,5,5,1,1,1,1,2,2,2,4,3,4,5,5,4,5,2,4,5,5,1,2,5
5/10/2026 8:39:13,2 - Female,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",4,5,5,5,4,5,5,3,1,2,2,1,2,1,4,4,4,5,4,4,5,4,3,4,2,4,3,4
5/10/2026 9:22:33,1 - Male,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",1,1,1,1,2,1,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,5,5,5,5,4,4,5
5/10/2026 9:46:49,1 - Male,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",5,5,5,4,4,5,4,3,1,2,3,3,1,4,3,4,3,5,4,4,4,4,4,4,3,4,4,4
5/10/2026 9:48:02,1 - Male,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop, Desktop",4,5,5,5,5,5,5,1,1,2,1,3,1,1,4,5,4,5,5,5,5,5,5,5,5,3,4,5
5/10/2026 10:11:38,4 - Prefer not to say,3 - 26 - 40,"2 - Non-IT Related (e.g., Humanities, Management)",5 - Post-graduate,"Smartphone, Laptop",5,5,3,4,1,5,5,1,1,1,1,1,1,1,4,4,4,5,5,4,5,2,4,4,4,4,1,4
5/10/2026 10:12:11,1 - Male,2 - 20–25,1 - IT/Computer Science,4 - 4th,"Smartphone, Laptop",5,5,5,4,3,3,4,5,1,1,1,5,3,1,5,3,5,5,5,5,3,5,3,5,1,5,2,4
5/10/2026 11:20:33,1 - Male,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop, Tablet",5,4,5,4,4,5,5,1,1,3,3,1,1,1,5,5,3,5,5,5,5,4,5,5,5,1,3,5
5/10/2026 11:26:47,2 - Female,1 - Under 20,1 - IT/Computer Science,1 - 1st,Laptop,3,2,5,4,5,5,5,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3
5/10/2026 11:26:57,2 - Female,1 - Under 20,1 - IT/Computer Science,2 - 2nd,"Smartphone, Laptop, Desktop",5,3,1,1,5,5,4,5,3,3,3,2,3,3,3,3,3,2,2,2,3,2,3,4,5,5,4,3
5/10/2026 11:49:26,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",1 - 1st,Smartphone,4,4,4,5,5,5,4,4,2,3,4,3,2,3,3,3,2,3,2,4,4,5,3,4,4,4,2,4
5/10/2026 11:52:11,2 - Female,2 - 20–25,"2 - Non-IT Related (e.g., Humanities, Management)",4 - 4th,Smartphone,5,5,2,5,4,5,5,5,1,3,1,1,1,1,1,1,1,1,5,2,5,4,2,5,2,2,1,4
5/10/2026 12:14:12,1 - Male,3 - 26 - 40,1 - IT/Computer Science,5 - Post-graduate,Smartphone,5,5,5,5,4,5,5,4,2,3,2,3,3,2,2,2,4,5,4,4,4,5,4,5,5,3,4,4
5/10/2026 12:19:54,4 - Prefer not to say,3 - 26 - 40,1 - IT/Computer Science,4 - 4th,Smartphone,5,5,5,1,5,5,5,1,5,4,4,1,1,1,1,5,5,3,5,2,4,5,5,5,1,2,1,5
5/10/2026 12:22:06,1 - Male,2 - 20–25,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",5,5,5,5,5,5,5,3,1,3,3,5,1,2,3,5,5,5,5,4,5,5,3,5,5,5,5,5
5/10/2026 12:28:24,1 - Male,2 - 20–25,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",5,5,5,4,5,4,4,3,2,3,3,4,3,3,3,3,3,4,4,5,4,4,3,5,4,4,4,4
5/10/2026 12:36:26,1 - Male,3 - 26 - 40,1 - IT/Computer Science,4 - 4th,Smartphone,2,5,5,5,5,5,5,1,1,2,2,1,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
5/10/2026 12:48:02,1 - Male,3 - 26 - 40,1 - IT/Computer Science,4 - 4th,Laptop,5,5,5,5,5,5,5,1,1,1,1,3,1,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5
5/10/2026 12:51:32,1 - Male,2 - 20–25,1 - IT/Computer Science,5 - Post-graduate,Laptop,5,5,5,3,5,4,4,2,1,1,2,1,1,1,5,5,2,4,3,3,5,5,4,4,3,2,3,4
5/10/2026 12:54:34,1 - Male,2 - 20–25,1 - IT/Computer Science,5 - Post-graduate,"Smartphone, Laptop",5,5,5,3,4,5,4,3,1,1,2,1,1,1,4,5,3,5,3,3,5,5,3,4,3,3,3,4
